name,host_name,neighbourhood,room_type,price,minimum_nights,availability_365
Yurt Nest at Green Oaks Community,Valerie,28804,Entire home/apt,88,2,159
Historic Log Cabin Asheville (19),John And Maria,28804,Entire home/apt,140,1,344
Lucky W Cottage-city and country!,Jessica,28804,Entire home/apt,135,2,291
Historic Log Cabin Asheville (10),John And Maria,28804,Entire home/apt,105,1,357
Charming Victorian twin BR for 2,Evelyne,28804,Private room,50,1,360
Elder & Kid friendly home,Liat,28804,Private room,55,1,349
Spacious Mountain home in Asheville,Bernadette,28804,Entire home/apt,600,3,337
Spacious Home in Historic Area,Sarah,28804,Entire home/apt,450,3,365
Historic Log Cabin Asheville (15),John And Maria,28804,Entire home/apt,95,1,336
Town Mountain Guest Suite on BRPkwy,Lisa,28804,Entire home/apt,120,1,350
"Sunny, private retreat near town",Emily,28804,Entire home/apt,125,2,293
Walk to Lake / Close to Downtown,Amanda,28804,Entire home/apt,80,2,349
Charming home near UNCA/Downtown,Daniel,28804,Entire home/apt,110,1,318
Convenient Asheville Bungalow,MK And B,28804,Entire home/apt,175,2,360
"Adorable cottage, 7min. to Downtown",Robin And Corey,28804,Entire home/apt,90,2,354
Spacious North Side Private Haven!,Jessica,28804,Entire home/apt,98,2,95
"Beautiful 2bd, Great Location!",Jeanette,28804,Entire home/apt,200,3,0
Historic Log Cabin Asheville (4),John And Maria,28804,Entire home/apt,105,1,341
"Asheville's Famous ""Pink House""",Tim,28804,Entire home/apt,450,2,326
Treehouse close to downtown,Steve And Lael,28804,Entire home/apt,150,21,153
Terrace Cottage,Kevin,28804,Entire home/apt,150,2,343
1973 Asheville Airstream,Brit,28804,Entire home/apt,65,1,281
"Walk to Lake, Privacy, Convenience",Amanda,28804,Entire home/apt,200,1,145
Cozy Cabin Minutes to Downtown,Nancy And Chad,28804,Entire home/apt,119,3,353
"Minutes to DT Asheville, Pvt. Bath",Sandy,28804,Private room,30,3,76
Cozy North Asheville Retreat,Stephanie,28804,Entire home/apt,80,2,161
Sweet Suite,Beth,28804,Entire home/apt,69,1,348
Private Home with Private Grounds,Michael,28804,Private room,51,2,316
Cozy One-bedroom apartment,Daryl,28804,Entire home/apt,85,2,0
"Private Entrance, Bath and Deck !!!",Linda,28804,Entire home/apt,75,1,61
Private Bed&Bath w/Private Entrance,Amanda,28804,Private room,60,1,49
REFOCUS COTTAGE~Asheville retreat!,Gayle,28804,Entire home/apt,189,2,325
Vintage Carriage House Apartment,Lou,28804,Entire home/apt,105,2,264
Asheville Modern Round House ,Josh,28804,Entire home/apt,180,1,247
Asheville Artist Get Away Master,Katalin Dhyana,28804,Private room,125,2,342
Asheville Artist Getaway Guest,Katalin Dhyana,28804,Private room,88,2,342
Heaven Zen (guest house),Theresa,28804,Entire home/apt,111,2,355
Unique 1920's Bungalow,Theo,28804,Entire home/apt,96,7,57
"Cute cottage10 minutes north, quiet",Tom,28804,Entire home/apt,99,1,288
"Chic, cozy and convenient location!",Julia,28804,Entire home/apt,100,2,327
Asheville Long Range Views-Hot Tub,John And Maria,28804,Entire home/apt,335,3,243
Dog Friendly Cabin in the Woods,Leslie,28804,Entire home/apt,135,2,322
Enchanting Farm Apartment,Rosiland,28804,Entire home/apt,68,2,176
Cozy 1BR w/ Qu Sleeper Sofa,Anne,28804,Entire home/apt,130,1,0
Asheville Airstream & Cozy Bungalow,Brit,28804,Entire home/apt,145,1,280
Sunny Aerie with Mountain Views,David,28804,Entire home/apt,89,5,79
Local living in Asheville!,Kira,28804,Entire home/apt,125,2,363
Relaxing Room (Mountains/Lake View),Rob,28804,Private room,150,1,0
Asheville Serene Retreat - Hot Tub,John And Maria,28804,Entire home/apt,335,3,285
Spacious Lower-level Flat w/Patio,Ashley And Brendan,28804,Entire home/apt,89,2,66
Mountain Apt. Close To Downtown AVL,Marcy,28804,Entire home/apt,175,2,99
Asheville Studio 1 mile to downtown,Brady,28804,Entire home/apt,100,1,358
Chill room in easy going home,Brady,28804,Private room,40,1,365
Cozy room on cul-de-sac near lake,Jody,28804,Private room,60,1,358
Cozy house on cul-de-sac near lake.,Jody,28804,Entire home/apt,120,1,337
Postcard View,Suzy,28804,Entire home/apt,595,3,327
Nature Retreat Near Downtown AVL,John,28804,Private room,75,1,353
Historic Log Cabin Asheville (14),John And Maria,28804,Entire home/apt,105,1,348
"2.5 mile 2 dntwn, Comfy Suite, Pets",Susan,28804,Entire home/apt,110,2,352
Modern room with attached bath,Kora,28804,Private room,90,2,164
Log Cabin Near Downtown Asheville,Georgia,28804,Entire home/apt,295,3,28
Mountain Beauty/City Convenience,Rob,28804,Entire home/apt,125,2,178
"Downtown, River Arts, & W Asheville",Brit,28804,Private room,45,1,282
"HOME, INDOOR POOL, NEAR IT ALL",Diane & Dick,28804,Entire home/apt,250,2,334
REFOCUS FIVE -Family friendly home!,Gayle,28804,Entire home/apt,265,2,318
 Grove Park Master Suite with View,John,28804,Private room,95,1,361
Fabulous Studio 10 min to downtown!,Callie,28804,Entire home/apt,125,2,338
"Convenient bedroom, close to dtown",Doug,28804,Private room,75,1,299
Asheville Mountain Getaway,Joshua And Luna,28804,Entire home/apt,95,2,345
Converted Flat in Town!,Haley & Ted,28804,Entire home/apt,94,2,162
"15 Lee Ave, Asheville -  2+ Bdrm ",Ginger,28804,Entire home/apt,140,2,287
The Suite at Bittersweet,Matthew,28804,Entire home/apt,240,2,254
Historic Log Cabin Asheville (3),John And Maria,28804,Entire home/apt,85,1,329
Modern Tree Top Bungalow!!,Josh,28804,Entire home/apt,150,1,325
Stylish & Cozy Cabin in the Woods! ,Justin,28804,Private room,55,1,356
Artistic Bungalow Close to Downtown,Brit,28804,Entire home/apt,85,1,282
Cozy North Asheville Rest Haven,Eva,28804,Private room,45,1,271
Historic Log Cabin Asheville (8),John And Maria,28804,Entire home/apt,145,1,336
Historic Log Cabin Asheville (11),John And Maria,28804,Entire home/apt,130,1,341
Charming one bedroom apartment,Maya,28804,Entire home/apt,115,2,364
BEAVER LAKE Privacy & HOT TUB - WOW,Evelyn,28804,Private room,100,2,341
Historic Log Cabin Asheville (16),John And Maria,28804,Entire home/apt,140,1,176
Skylight Suite 7mins. from downtown,Robin And Corey,28804,Private room,65,2,365
Studio at Green Oaks Community,Valerie,28804,Entire home/apt,85,2,171
Guest room in walk-in lower level,Nat,28803,Private room,75,1,342
Historic Biltmore Village Asheville,Sherrye,28803,Entire home/apt,199,2,362
Asheville Apt/Suite w/ Fireplace,Naz,28803,Entire home/apt,105,2,352
The Cloister,Robyn,28803,Private room,40,2,282
Studio 54,Robyn,28803,Private room,55,2,346
Convenient Biltmore/Downtown home,Mary Catherine,28803,Private room,85,2,320
Cozy bed/bath close to Biltmore,Angie,28803,Private room,55,1,347
"Art-filled, contemporary home",Mignon,28803,Private room,85,2,341
"Charming room w/bath, historic area",Krista,28803,Private room,95,2,362
1 Mile from Ale Trail-free rides!,Cindi And Son Darian,28803,Private room,49,1,359
Charming Asheville Bungalow,Marilynn,28803,Private room,55,1,284
Biltmore Village Inn,Monica,28803,Private room,295,2,89
6miles to DT Healing Sanctuary Room,Athena,28803,Private room,75,1,85
Feels like ur own apart. / central!,Lynn,28803,Private room,75,1,131
Beautiful room with private balcony,Athena,28803,Private room,75,1,361
Cool solar house in South Asheville,Walter,28803,Private room,59,2,243
Asheville B&B Romantic India Room,Vicki And Neeraj,28803,Private room,125,1,365
My daughters old room is available!,Accem,28803,Private room,35,2,365
Blue Ridge Parkway Arts'n Crafts!,Karen,28803,Entire home/apt,80,2,95
Mermaid Cottage,Camille,28803,Entire home/apt,120,1,293
Studio next to dwntn and Biltmore,Emilio And Kate,28803,Entire home/apt,110,2,298
The Cottage on Parkway Loop,Tim And Muffi,28803,Entire home/apt,90,2,238
Cozy Cabin by Mountain Stream,Patricia,28803,Entire home/apt,118,2,339
Forest Hill Bungalow,Shari,28803,Entire home/apt,99,2,289
Local Asheville Apt. Near Biltmore,Rita,28803,Entire home/apt,100,2,312
Cabin by the pond,Patricia,28803,Entire home/apt,118,2,351
Bungalow by Biltmore House,Jason,28803,Entire home/apt,175,3,165
20's Bungalow Downtown/Biltmore,Misty,28803,Entire home/apt,225,5,28
Urban Peace 5 ml from Downtown AVL ,Ar,28803,Entire home/apt,145,2,355
Spacious Biltmore Getaway,Erik And Lisa,28803,Entire home/apt,97,2,356
Biltmore Little Red House,Nessa,28803,Entire home/apt,181,2,356
'Mimi's Cottage' 1BR Asheville Home,Evolve Vacation Rental,28803,Entire home/apt,139,2,160
Buried in Woods- Full of Art/ Style,Trip,28803,Entire home/apt,225,3,284
The Sweet Pine House sleeps 4,Trish & Steph,28803,Entire home/apt,130,2,311
Suzies Cabin Hottub nrBiltmore View,Suzanne,28803,Entire home/apt,169,4,305
Close to it all! Pet friendly!,Liz,28803,Entire home/apt,150,2,329
"Cozy ranch house in Asheville, NC",Maren,28803,Entire home/apt,175,2,316
CONVENIENT Pine TreeHouse sleeps 6,Trish & Steph,28803,Entire home/apt,185,2,265
Comfortable Apartment,James,28803,Entire home/apt,140,2,365
Peace and Quiet Minutes From Town,Jeff,28803,Entire home/apt,170,7,0
The Fern Street Apt near Biltmore ,Debbie,28803,Entire home/apt,40,30,355
That 70s House,Jennifer,28803,Entire home/apt,180,3,265
Sunny Spacious 2 Bedroom 1 Mi town,Cassie,28803,Entire home/apt,110,13,0
Pat's Flat,Patrick,28803,Entire home/apt,100,3,298
Downtown Convenience: Orange Peel,Danielle,28803,Private room,60,1,333
Mountain Retreat with Hot Tub,Bob And Carrie,28803,Private room,85,1,342
Bodacious Downtown Brick House!,Diane,28803,Entire home/apt,200,2,339
Finished basement private bed/bath,Hillary,28803,Private room,65,1,7
Beautifully appointed apt in mtns,Karen,28803,Entire home/apt,90,2,320
Highclere Mtn Retreat Asheville,Ron,28803,Entire home/apt,425,3,241
Charming 1929 home w/ modern touch,Jan,28803,Entire home/apt,199,2,18
The Red Door ,Maggi,28803,Entire home/apt,65,3,276
Eclectic Arts&Craft on Edge of Town,Jaime,28803,Entire home/apt,125,2,282
Beautiful Kenilworth Jewel,Lynn & Jake,28803,Entire home/apt,95,2,295
Private room /attached in Asheville,Lee,28803,Private room,75,1,323
Private Room & Bath near Biltmore,Brooke & Erick,28803,Private room,85,2,27
Cozy Charm by Biltmore & Parkway,Molly Rose,28803,Entire home/apt,105,2,13
Your Home Away from Home Downtown,Pamela And Angelo,28803,Private room,60,1,360
Out of Africa Stay in Asheville NC,Vicki And Neeraj,28803,Private room,125,1,365
Private room near Biltmore Estate!,Elaine,28803,Private room,49,1,46
5 Mins to Downtown/ 2 MIns-Biltmore,Robbie And Jessie,28803,Entire home/apt,400,2,356
Asheville Green Cottage - Green B&B,Vicki And Neeraj,28803,Private room,115,2,363
Mountainside Private Room & Bath,Allison & Peter,28803,Private room,48,1,348
Griffin's Lair Biltmore Village AVL,Robert,28803,Entire home/apt,250,2,287
"Historic B&B, Quiet, Veg Breakfast",Vicki And Neeraj,28803,Private room,125,2,365
lovely/clean/central/pet sitting/!,Lynn,28803,Private room,55,1,363
Finished Basement-Private Bed&Bath,Allison & Peter,28803,Private room,37,1,314
Serene garage and Exercise Room,Athena,28803,Private room,40,2,174
Mountaintop Fun 10 Min to Downtown,Peggy,28803,Entire home/apt,175,1,348
Cozy Cottage in the City,Catherine,28803,Entire home/apt,99,1,329
Biltmore/Downtown Perfect Location!,Brian & Amy,28803,Entire home/apt,220,2,121
The Keep,Robyn,28803,Private room,60,2,350
Spring Fling near Biltmore Estate,Drew,28803,Entire home/apt,289,3,291
Huge Delux Master Bedroom Suite,Athena,28803,Private room,90,1,360
Cozy Bedroom/Bath Near Downtown! ,Kendal & Parker,28803,Private room,75,1,314
modern zen townhouse,Mi C.,28803,Entire home/apt,150,1,342
"Restful Room #1 in Asheville, NC",James,28803,Private room,80,2,365
Great Location by Biltmore Village!,Arlene,28803,Private room,52,2,329
"Blue Ridge Parkway, Brand New Apt.!",Karen,28803,Entire home/apt,60,2,152
Modern Condo Minutes From Biltmore,Lauren,28803,Entire home/apt,130,2,8
Nice room close 2 Biltmore / Dwntwn,Leslie,28803,Private room,70,1,74
Blue Ridge Parkway House and Apt.!,Karen,28803,Entire home/apt,175,1,173
Private Room and bath,Jamie And Scott,28803,Private room,55,1,60
Restful Room #2,James,28803,Private room,80,1,275
Quaint room in a beautiful home,Athena,28803,Private room,55,1,359
Newly Finished with Great View,Richard,28803,Entire home/apt,125,4,338
Welcome Home! 3Bdr 2.5 bath for 10.,Trish & Steph,28803,Entire home/apt,250,2,265
beautiful apartment South Asheville,Cassandra,28803,Private room,99,1,365
Comfy bedroom for short stays,Maggie,28803,Private room,44,1,0
Cozy Bungalow In Asheville,Scarrie,28803,Private room,45,1,351
The Grapevine Guest Suite,Jennifer,28803,Entire home/apt,68,2,47
6 miles to DT Beautiful Green Home,Athena,28803,Entire home/apt,568,2,81
South Asheville,Danny & Lorraine,28803,Private room,100,1,365
Awesome Asheville Condo Flat,Lance,28803,Entire home/apt,99,2,321
Private suite with a prime location,Kara Elizabeth,28803,Private room,89,1,97
"Victoria Blue, Central to Downtown",Pamela And Angelo,28803,Private room,60,1,363
Peaceful and clean getaway,Holly,28803,Private room,115,2,365
The Lodge,Shoji Spa & Lodge,28803,Entire home/apt,249,1,339
Mellow Yellow Refuge Near Downtown,Pamela And Angelo,28803,Entire home/apt,100,1,353
Gypsy Wagon,Steve,28803,Entire home/apt,63,2,168
Townhome 2Bdrm,Susan,28803,Entire home/apt,375,1,365
LOW weekenight rates! Visit AVL!,Megan,28803,Entire home/apt,125,3,284
Large private bedroom and bath,Don,28803,Private room,70,1,352
Comfortable room in great location!,Emily,28803,Private room,62,1,345
Peacock Room Near Downtown,Pamela And Angelo,28803,Private room,60,1,359
Luxurious Mountain Apartment Suite,Milan,28803,Entire home/apt,125,2,297
Cozy Apt- Near Biltmore!,Maggie,28803,Entire home/apt,80,1,15
great room btwn Dwntwn and Biltmore,Leslie,28803,Private room,70,1,39
Minutes from AVL! LOW weeknights!,Megan,28803,Entire home/apt,130,3,303
Historic Biltmore Village Apartment,Shannon,28803,Entire home/apt,160,3,274
Humble Pie,Meredith,28803,Entire home/apt,300,2,336
Private Room & Bath near Downtown  ,Svitlana,28803,Private room,70,1,358
"Studio Apt, Kingbed, Quiet/Private",Nan,28803,Entire home/apt,75,2,146
The Loft,Shoji Spa & Lodge,28803,Entire home/apt,229,1,357
The Studio Suite,Shoji Spa & Lodge,28803,Entire home/apt,239,1,362
Guest Cottage in Private Garden,Lauren,28801,Entire home/apt,160,2,344
Romantic Getaway,Stephanie,28801,Entire home/apt,265,5,334
"Cottage in Downtown Asheville, NC",Cate,28801,Entire home/apt,195,3,262
Downtown Asheville in Cozy Style,John,28801,Private room,69,2,326
Solo Traveler's Room Near Downtown,Cynthia,28801,Private room,50,1,82
AA Asheville Walk to Downtown!!,Danielle,28801,Private room,60,1,340
"Mountain Sunset, Walk to Downtown",Rebecca,28801,Private room,74,1,76
Downtown 1 Queen Bedroom (5),Asheville Hostel & Guest House,28801,Private room,54,2,143
Downtown 1 Queen Bedroom,Asheville Hostel & Guest House,28801,Private room,54,2,152
Downtown 1 Queen Bedroom (4),Asheville Hostel & Guest House,28801,Private room,50,2,163
Downtown 2 Twins Bedroom,Asheville Hostel & Guest House,28801,Private room,50,2,149
Downtown Bob Marley House,Kitty,28801,Private room,85,2,178
Downtown 2 Twins Bedroom (3),Asheville Hostel & Guest House,28801,Private room,50,2,166
"2 Beds, Private Room near Downtown",Cynthia,28801,Private room,75,1,75
Guest Room at Oakland Cottage B&B,Mary,28801,Private room,148,2,311
Micromodern On Chickenhill,Heather,28801,Private room,165,1,18
Downtown Tiny House,Asheville Hostel & Guest House,28801,Entire home/apt,88,3,109
Beer City Bungalow,Kelsey,28801,Entire home/apt,85,1,337
Sunny Downstairs Apartment,Becca,28801,Entire home/apt,115,2,320
Asheville Apartment,Hilary,28801,Entire home/apt,125,1,11
Downtown Apartment,Clay,28801,Entire home/apt,100,2,0
primo apt in downtown Asheville!,Susan,28801,Entire home/apt,250,2,332
MODERN RIVER ARTS ECO-COTTAGE,Alicia,28801,Entire home/apt,125,3,158
New house! Walk Dtown & River Arts,Jamie,28801,Entire home/apt,220,2,0
CasaLina,Carolina,28801,Entire home/apt,150,2,312
 Views of Downtown and Mountains,Michael,28801,Entire home/apt,200,3,153
Champagne Tastes on a Beer Budget,Jeremy,28801,Entire home/apt,216,3,281
River Arts District/Downtown Home,MK And B,28801,Entire home/apt,289,2,362
Beautiful historic home downtown,Anna,28801,Entire home/apt,290,3,0
"Penthouse Condo, Walk to Downtown",J.D. And Alicia,28801,Entire home/apt,300,7,363
Private Room with Full Bathroom,Lonnie,28801,Private room,79,1,357
Downtown Asheville Hideaway,Brian,28801,Private room,129,1,203
The Tarot House,Betsy,28801,Private room,95,1,343
Welcoming craftsman ,Rick,28801,Private room,70,2,75
Romantic Asheville Bed & Breakfast,Frank,28801,Private room,259,1,363
Walk Downtown! {POOL & Bikes} Rm #2,Brittany,28801,Private room,60,1,342
"Hidden treasure near Downtown, UNCA",Mary,28801,Private room,85,2,299
Location! Location! Location!,Paul And Meg,28801,Private room,88,2,342
Cottage in the Heart of Asheville,Marian,28801,Private room,95,2,295
Rustic Industrial-Heart of Downtown,Celeste,28801,Entire home/apt,215,2,336
The boyfriend experience...,Zachary,28801,Entire home/apt,2000,1,365
1843 Rankin House Inn,Scott,28801,Entire home/apt,850,2,259
Walk to downtown-8 People -Montford,The Bohemian House (Chris),28801,Entire home/apt,350,2,296
Vacation in Historic Montford,Greg,28801,Entire home/apt,245,2,350
Downtown Asheville 2 bed/2bath unit,Heather,28801,Entire home/apt,350,2,353
Montford/ Downtown Bungalow,John,28801,Entire home/apt,115,1,36
Lovely Home Downtown-Easy Walk,Matt And Sarah,28801,Entire home/apt,159,1,5
Cute Downtown Asheville Apartment,Roberto,28801,Entire home/apt,100,1,323
WALK DOWNTOWN Asheville CuteCottage,Lisa,28801,Entire home/apt,198,2,343
Walk to Downtown! New Construction!,Thomas,28801,Entire home/apt,300,2,357
Charming Downtown,Rita,28801,Private room,62,1,278
Rankin House Inn - Squire Billy Rm,Scott,28801,Private room,139,2,203
Artsy apartment close to downtown,Anne Sophie,28801,Entire home/apt,85,3,17
Walk Downtown Historic Montford Apt,Haley & Ted,28801,Entire home/apt,110,2,159
"Historical 2 BDR, walk downtown",William,28801,Entire home/apt,140,2,291
Luxury Loft in Heart of Downtown,Mark,28801,Entire home/apt,250,2,180
Historic Montford Apartment,Joe,28801,Entire home/apt,110,1,21
Forsythia Hall Church Mouse Pad,Duncan & Emmy,28801,Entire home/apt,125,2,352
Extraordinary modern. Historic area,Zachary,28801,Private room,90,1,361
Extraordinary modern. Historic area,Zachary,28801,Private room,90,1,365
Bodacious Downtown Bungalow,Diane,28801,Entire home/apt,150,2,308
Downtown 1 Queen Bedroom (2),Asheville Hostel & Guest House,28801,Private room,54,2,139
Extraordinary modern. Historic area,Zachary,28801,Private room,150,1,364
Downtown 2 Twins Bedroom (2),Asheville Hostel & Guest House,28801,Private room,50,2,159
Walk Downtown! {POOL & Bikes) Rm #1,Brittany,28801,Private room,60,1,350
"Walk downtown, trees, birds,pets ok",Manley,28801,Entire home/apt,88,1,266
Downtown 1 Queen Bedroom (3),Asheville Hostel & Guest House,28801,Private room,50,2,170
Luxury Central Downtown Loft,Ricardo,28801,Entire home/apt,195,2,328
WALKING DISTANCE TO DOWNTOWN!,Tom,28801,Entire home/apt,145,2,309
Modern Condo in Downtown Asheville,Chris,28801,Entire home/apt,200,2,319
"2 br Townhouse, Walkable Downtown",Price,28801,Entire home/apt,113,2,47
Downtown Asheville Deal! 2bed/apt,Chelsea,28801,Entire home/apt,99,7,198
"""Studio C""  in Downtown!",April,28801,Entire home/apt,117,1,243
French Industrial Chic City Loft,Celeste,28801,Entire home/apt,315,2,346
Rankin House Inn -Walter Bearden Rm,Scott,28801,Private room,139,2,280
Rankin House Inn -Miss Elizabeth Rm,Scott,28801,Private room,139,1,283
COZY DOWNTOWN STUDIO,Alicia,28801,Entire home/apt,90,3,147
Rankin House Inn - Aunt Betsy Room,Scott,28801,Private room,149,1,297
Downtown Asheville with a View,John,28801,Private room,69,2,317
Walk to downtwn/UNCA! Be Inspired!,Krista,28801,Private room,100,1,186
Easy walk to downtown Asheville,Ron And Helen,28801,Entire home/apt,150,2,22
1920s Historic 1bd Near Downtown,Kris & Dani,28801,Entire home/apt,100,2,0
Sassy Blue Room in Southslope,Sharon,28801,Private room,65,2,156
Luxurious walk to town with views,Lisa,28801,Entire home/apt,200,5,263
Cozy private apartment in Montford,Lonnie,28801,Entire home/apt,120,1,315
Historic Grove Park,Elizabeth,28801,Private room,125,3,365
Downtown Asheville/ south slope,Melissa,28801,Private room,90,1,349
DOWNTOWN GARDEN SUITE TO YOURSELF,Tara,28801,Entire home/apt,115,2,328
Downtown Hipster Apartment #1,Reid,28801,Entire home/apt,110,3,49
Urban Cabin Retreat Master Bedroom,Lisa,28801,Private room,125,2,29
Handsome Chic Loft in City Centre,Celeste,28801,Entire home/apt,415,2,330
Spacious duplex close to town,Jennifer,28801,Entire home/apt,115,2,267
One-Bdroom Apt. 5 min Walk Downtown,Adrienne,28801,Entire home/apt,149,1,88
Cosy Guest Room in 5Points Bungalow,Betsy,28801,Private room,60,1,0
Be VERY Comfortable & well located,Lisa,28801,Private room,85,1,334
"380+ Reviews APT#2 
WALK DTWN QUIET",Cathy,28801,Entire home/apt,113,3,225
Private Room w/Bath -3 blks to town,Lizzy,28801,Private room,95,1,322
Downtown Artist Loft,Krista,28801,Entire home/apt,190,1,259
Multiple Neighboring Downtown Lofts,Celeste,28801,Entire home/apt,1550,1,348
Sweet garden apartment in Montford,Caroline,28801,Entire home/apt,110,2,52
Walk to Downtown or UNCA ,Starr,28801,Entire home/apt,225,2,323
375 reviewsApt #1 WALK DTWN QUIET!,Cathy,28801,Entire home/apt,124,3,119
Victorian Cottage Downtown Green Rm,Rita,28801,Private room,66,1,316
High Cottage,Carol,28801,Entire home/apt,175,7,355
"Stylishly quaint, close 2 downtown!",April,28801,Entire home/apt,86,1,309
Convenient Classic Downtown Loft,Amanda,28801,Entire home/apt,180,2,143
Garden Apt near downtown w/hot tub!,Ander,28801,Entire home/apt,99,2,355
Downtown Asheville 2BR/2BA Loft,Angie,28801,Entire home/apt,300,3,310
Two Block Walk from Apt to Downtown,Frank & Peter,28801,Entire home/apt,175,2,299
Cozy. Modern Downtown Escape/RAD,Holly,28801,Entire home/apt,179,2,290
Serenity & Beauty in Asheville,Aria,28801,Private room,97,2,143
Location! Location! Location!,MK And B,28801,Entire home/apt,189,2,358
Dwntwn Bungalow walk to everything!,B,28801,Entire home/apt,215,3,202
Historic Grove Park rental - Apt #2,Kathryn,28801,Entire home/apt,190,2,117
Victorian Cottage Downtown Blue Rm,Rita,28801,Private room,66,1,296
"380 Reviews 
Apt #3 WALK DTWN QUIET",Cathy,28801,Entire home/apt,113,3,224
House on the Hill near Downtown,Damon,28801,Private room,39,1,281
DOWNTOWN AVL LOFT--GREAT LOCATION!!,Jean,28801,Entire home/apt,195,3,249
STYLE COMFY Walk2town King&Queenbed,Julie,28801,Entire home/apt,155,1,43
The Hidden Attic - Great location!,Susan,28801,Entire home/apt,200,2,44
Cozy Apartment Downtown Walkable,Jody,28801,Private room,28,1,0
Cosmopolitan Loft in City Centre,Celeste,28801,Entire home/apt,305,2,361
B&B room w pvt bath 1mi to Biltmore,Mary,28801,Private room,123,2,313
Private Suite. 10 min walk to Town,David,28801,Entire home/apt,105,2,347
The Golden Nook,Michelle,28801,Entire home/apt,120,2,336
"Downtown Asheville, Antique Style",John,28801,Private room,77,1,143
HIP DOWNTOWN HIDEAWAY,Alicia,28801,Entire home/apt,125,3,340
Downtown Hipster Apartment # 2,Reid,28801,Entire home/apt,89,3,159
Sparrow Cottage,Tena,28801,Entire home/apt,125,2,312
Urban Micro Studio Downtown,Anne,28801,Entire home/apt,49,1,135
Room: Walking distance to downtown,John,28801,Private room,60,1,52
Humble Appt Close to Downtown,Nikolas,28801,Private room,85,1,0
Bunny's Nest: near downtown & UNCA!,April,28801,Entire home/apt,79,1,306
Downtown Apartment / Orange Peel,Heather,28801,Private room,80,2,103
Artsy apartment walk to downtown,Jimmy,28801,Entire home/apt,89,2,137
Romantic & Bohemian Private Studio,Christal,28801,Entire home/apt,115,1,282
Walk to Town - Lovely Spacious Apt,Kimberly,28801,Entire home/apt,120,1,307
Private Suite Minutes from Downtown,Jessy,28801,Private room,59,1,26
Rankin House Inn- James Eugene Room,Scott,28801,Private room,129,2,298
"Romantic, Fireplace KBED Walk2town",Julie,28801,Entire home/apt,150,1,139
Bird House 1 block from Downtown!,Dana,28801,Entire home/apt,175,2,334
Chestnut Hills Vacalodge!,Angie,28801,Entire home/apt,105,1,318
Historic Grove Park  - Apartment #1,Kathryn,28801,Entire home/apt,190,2,32
Boho Style apt~Walk to Dtwn or AYC!,Jessica,28801,Shared room,48,2,22
New 1BD Short Walk to Downtown!,Jen And Jon,28801,Entire home/apt,150,2,307
Hand-built sweet cabin in the city,Lisa,28801,Entire home/apt,150,3,309
Historic River Arts District Home,Haley,28801,Entire home/apt,195,2,142
Downtown Bungalow-Optional Nursery,Stephanie,28801,Entire home/apt,150,3,294
A Retreat in Downtown Asheville...,Jeff,28801,Entire home/apt,205,1,336
"Private, Downtown & River Arts",Michelle,28801,Private room,49,1,292
City Centre Loft with Indoor Swing,Celeste,28801,Entire home/apt,315,2,348
"Charming, convenient Asheville home",Muriel,28801,Entire home/apt,200,1,282
CityChicKingBed Fireplace Walk2Town,Julie,28801,Entire home/apt,130,1,9
World Eclectic-Heart of the City,Celeste,28801,Entire home/apt,295,2,343
Asheville Repose - downtown AVL,Amy,28801,Private room,70,1,322
The Henhouse,Louisa,28801,Entire home/apt,125,2,342
Private Bedroom on South Slope,Vista,28801,Private room,75,2,104
New Home in Quiet Historic Montford,Jo,28801,Entire home/apt,198,2,179
"Downtown, Fully Furnished Studio",Jeanette,28801,Entire home/apt,150,7,111
Star House,Caroline,28801,Private room,109,1,358
Pine Grove,Carolina,28801,Private room,77,1,339
Downtown Asheville in Classic Style,John,28801,Private room,59,2,321
dwntwn/hrdwd/clay plaster/spacious,Molly,28801,Entire home/apt,250,2,345
Corner Cottage,Marta,28801,Entire home/apt,199,3,217
VIEWS! Luxury Near Dwntwn & Bltmore,Michael,28801,Entire home/apt,170,2,325
Strawbridge House,Barry,28801,Entire home/apt,180,2,282
Delightful Bungalow By Downtown,Ami & Jason,28801,Entire home/apt,125,2,212
Montfort Hills Apartment,Kim,28801,Entire home/apt,145,2,333
Amazing views in unique house,Anna,28801,Private room,77,1,355
Elizabeth Bearden 2 Bedroom Suite,Scott,28801,Private room,199,2,347
Hazel's Hideaway - Walk Downtown,Heidi + Chris,28801,Entire home/apt,100,2,327
Downtown Asheville Cozy Single Room,John,28801,Private room,45,2,64
McCanless Manor  Historic Montford,E-Mail,28801,Private room,100,3,89
"1 BdRm Apartment, walk to Asheville",Allen,28801,Entire home/apt,109,2,20
Perfect location to walk downtown,V,28801,Private room,85,1,73
Cheerful Home In Historic Downtown,Michele,28801,Entire home/apt,90,1,246
"Downtown House, 420 Friendly",Kitty,28801,Private room,60,15,180
Asheville Oak Cottage,Terri,28801,Entire home/apt,125,2,310
Montford Bungalow,James,28801,Entire home/apt,350,2,354
"Open, sunny downtown condo",Mellissa,28801,Entire home/apt,185,2,319
"Quiet, Beautiful, Walk to Town",Anne Marie,28801,Entire home/apt,180,2,107
Downtown/River Arts District Studio,MK And B,28801,Entire home/apt,169,1,359
Charming Apt-Walk downtwn,Heidi,28801,Entire home/apt,135,2,94
